Env,x,y,z
0.0,0.0,0.0,-0.04905
0.0,-27.697517,0.6855416,-2.4756165
0.0,-27.649399,0.5929775,-2.498868
0.0,-27.48954,0.50624084,-2.5157833
0.0,-27.419544,0.42105818,-2.6663322
0.0,-27.354126,0.33801222,-2.839857
0.0,-27.30362,0.257617,-3.0730467
0.0,-27.095528,0.18665361,-3.4174643
0.0,-26.899197,0.123738766,-3.8263426
0.0,-26.82209,0.06099081,-4.1823597
0.0,-26.688509,0.006866455,-4.5066547
0.0,-26.479336,-0.030723095,-4.8771477
0.0,-26.253998,-0.071807384,-5.1046143
0.0,-26.138527,-0.09559345,-5.3578396
0.0,-25.99224,-0.12117338,-5.60032
0.0,-25.774029,-0.15082169,-5.723612
0.0,-25.604973,-0.18505478,-5.8688784
0.0,-25.462921,-0.19171476,-5.9907875
0.0,-25.349606,-0.20694923,-6.1356945
0.0,-25.228306,-0.22678709,-6.255226
0.0,-25.108997,-0.22474241,-6.4421377
0.0,-25.006388,-0.21382427,-6.6100225
0.0,-24.840494,-0.19925594,-6.6913834
0.0,-24.68503,-0.19030571,-6.854562
0.0,-24.574074,-0.19299364,-6.960122
0.0,-24.386395,-0.18879938,-7.135667
0.0,-24.181522,-0.19132042,-7.1722183
0.0,-23.992044,-0.18257046,-7.1596127
0.0,-23.882494,-0.16011095,-7.232502
0.0,-23.64072,-0.14006329,-7.3650503
0.0,-23.46117,-0.09095764,-7.4052496
0.0,-23.324234,-0.015645027,-7.467679
0.0,-23.188828,0.083013535,-7.4602394
0.0,-23.054848,0.1971407,-7.4062634
0.0,-22.849983,0.30527973,-7.312641
0.0,-22.754833,0.3865409,-7.261963
0.0,-22.664057,0.48709488,-7.2605886
0.0,-22.598663,0.56594086,-7.3087406
0.0,-22.47997,0.6351414,-7.4198427
0.0,-22.415234,0.70824194,-7.47367
0.0,-22.249613,0.777441,-7.5868683
0.0,-22.151754,0.826591,-7.6180305
0.0,-22.078167,0.88621616,-7.635931
0.0,-21.96123,0.94029284,-7.6749554
0.0,-21.82557,0.9747038,-7.6521215
0.0,-21.638292,1.0306325,-7.5541983
0.0,-21.543762,1.1046157,-7.504939
0.0,-21.460037,1.1542325,-7.5251617
0.0,-21.392534,1.1918674,-7.4877586
0.0,-21.298113,1.2244005,-7.5266094
0.0,-21.154305,1.242157,-7.4577384
0.0,-21.022747,1.2464929,-7.367767
0.0,-20.918995,1.2354202,-7.416564
0.0,-20.853903,1.2140164,-7.4215775
0.0,-20.74845,1.2023797,-7.488422
0.0,-20.60842,1.1980114,-7.5785074
0.0,-20.489782,1.1779013,-7.6573005
0.0,-20.365074,1.1431437,-7.6245174
0.0,-20.146017,1.1054659,-7.528064
0.0,-20.0652,1.0983033,-7.4705157
0.0,-19.955252,1.0695868,-7.3686576
0.0,-19.905489,1.0264573,-7.2988276
0.0,-19.83746,0.9908705,-7.211272
0.0,-19.75565,0.9381213,-7.1410046
0.0,-19.668127,0.9002185,-7.154802
0.0,-19.609411,0.8779011,-7.135574
0.0,-19.581167,0.86712456,-7.1019626
0.0,-19.481668,0.8403225,-7.0364842
0.0,-19.425112,0.7953305,-6.9646893
0.0,-19.42898,0.7481251,-6.979726
0.0,-19.403828,0.6989436,-7.0231733
0.0,-19.351685,0.6369386,-7.017789
0.0,-19.33725,0.58403397,-7.0736446
0.0,-19.328495,0.5305705,-7.1103415
0.0,-19.27988,0.4666643,-7.195508
0.0,-19.252354,0.40354347,-7.212071
0.0,-19.176865,0.33257008,-7.2711673
0.0,-19.1083,0.27497387,-7.348846
0.0,-19.056747,0.22208214,-7.3816686
0.0,-18.988464,0.15440893,-7.424709
0.0,-18.836975,0.06899643,-7.3625007
0.0,-18.753555,0.0011816025,-7.2805996
0.0,-18.731556,-0.07096815,-7.235912
0.0,-18.657295,-0.15522432,-7.2667027
0.0,-18.542774,-0.23345804,-7.3224907
0.0,-18.42524,-0.32771778,-7.26445
0.0,-18.392796,-0.4099579,-7.220237
0.0,-18.35366,-0.49559402,-7.2269826
0.0,-18.248098,-0.57742834,-7.1533227
0.0,-18.235264,-0.67329836,-7.1312404
0.0,-18.194422,-0.77388525,-7.1247644
0.0,-18.116262,-0.8861923,-7.038588
0.0,-18.040684,-0.9924569,-6.945924
0.0,-17.978783,-1.1083627,-6.9672704
0.0,-17.86386,-1.232027,-7.015368
0.0,-17.821812,-1.3356552,-7.0073714
0.0,-17.748655,-1.4479895,-6.934818
0.0,-17.716581,-1.555325,-6.8643436
0.0,-17.712011,-1.6609559,-6.831576
0.0,-17.71871,-1.7715688,-6.793439
0.0,-17.672026,-1.877183,-6.710404
0.0,-17.623747,-1.9764757,-6.6274023
0.0,-17.592655,-2.0654864,-6.5513077
0.0,-17.54321,-2.1561918,-6.596765
0.0,-17.503641,-2.2521753,-6.5906425
0.0,-17.49272,-2.3340812,-6.6382833
0.0,-17.425282,-2.4189792,-6.7209377
0.0,-17.408962,-2.51054,-6.753636
0.0,-17.40554,-2.5918517,-6.7835727
0.0,-17.346579,-2.6660748,-6.7448726
0.0,-17.321192,-2.7438116,-6.6959095
0.0,-17.260529,-2.8133569,-6.627126
0.0,-17.273155,-2.8897433,-6.5866604
0.0,-17.237751,-2.9572635,-6.6195126
0.0,-17.201075,-3.0297418,-6.5679693
0.0,-17.193727,-3.0983787,-6.528253
0.0,-17.195623,-3.1578202,-6.5432124
0.0,-17.164715,-3.219438,-6.4922376
0.0,-17.187761,-3.2747731,-6.4826326
0.0,-17.138624,-3.3270397,-6.539091
0.0,-17.146221,-3.3862476,-6.5553417
0.0,-17.134768,-3.445426,-6.5874863
0.0,-17.078999,-3.5058756,-6.644664
0.0,-17.065575,-3.5708194,-6.626917
0.0,-16.992943,-3.6266608,-6.5589337
0.0,-16.992023,-3.6705508,-6.5480413
0.0,-16.906696,-3.701469,-6.580982
0.0,-16.852873,-3.7185202,-6.5264664
